Timestamp,Cliente,Ambiente,Sección,Descripción,Tiempo (ms),Versión,Muestra,Comentarios
2025-11-06T10:21:37-03:00,Petersen,Testing,Cashflow,Visualizar el cashflow Intradiario,14833,V4.686,9,
2025-11-06T10:21:37-03:00,Petersen,Testing,Operaciones,Dar de alta una operación de Repos,8224,V4.686,9,
2025-11-06T10:21:37-03:00,Petersen,Testing,Operaciones,Modificar una operación de Repos,2412,V4.686,9,
2025-11-06T10:21:37-03:00,Petersen,Testing,Operaciones,Anular una operación de Repos,864,V4.686,9,
2025-11-06T10:21:37-03:00,Petersen,Testing,Operaciones,Dar de alta una operación de Títulos,4238,V4.686,9,
2025-11-06T10:21:37-03:00,Petersen,Testing,Operaciones,Modificar una operación de Títulos,2190,V4.686,9,
2025-11-06T10:21:37-03:00,Petersen,Testing,Operaciones,Anular una operación de Títulos,855,V4.686,9,
2025-11-06T10:21:37-03:00,Petersen,Testing,Límites,Ingresar en Administrar Límites,4195,V4.686,9,
2025-11-06T10:21:37-03:00,Petersen,Testing,Límites,Agregar un límite para un Call,1929,V4.686,9,
2025-11-06T10:21:37-03:00,Petersen,Testing,Límites,Dar de alta una operación de Call afectada por un límite,80850,V4.686,9,
2025-11-06T10:21:37-03:00,Petersen,Testing,Límites,Revisar que la operación afectada por el límite se muestre en el menú Pendiente de Autorización,1215,V4.686,9,
2025-11-06T10:21:37-03:00,Petersen,Testing,Límites,Eliminar el límite creado,2143,V4.686,9,
2025-11-06T10:21:37-03:00,Petersen,Testing,Consultas,Ingresar en consultas de operaciones,3961,V4.686,9,
2025-11-06T10:21:37-03:00,Petersen,Testing,Consultas,Consultar 3000 operaciones,242770,V4.686,9,
